name,quantity,unit_price,category
notice,48,36.11,decade
behavior,34,13.97,picture
oil,72,24.43,will
must,45,37.24,there
answer,30,17.44,trial
able,64,66.19,police
large,43,27.0,rule
health,84,58.79,play
recently,40,65.22,art
his,15,52.38,contain
school,21,88.89,federal
early,84,92.0,much
well,67,32.46,wonder
somebody,74,64.81,wait
would,27,77.42,president
prepare,71,75.83,measure
if,35,66.73,theory
response,77,28.31,Mrs
short,45,28.02,everything
happy,71,8.24,girl
true,75,51.06,appear
quality,36,69.68,animal
gun,82,28.08,brother
production,27,94.98,only
different,56,4.85,population
throughout,30,28.71,building
necessary,46,98.79,blue
machine,31,99.36,know
happy,88,67.72,perform
full,48,60.09,develop
professor,69,45.64,who
I,68,34.92,ten
next,89,74.95,believe
adult,13,56.75,dog
specific,41,65.99,lay
itself,97,75.57,every
rather,26,89.45,charge
world,2,42.02,instead
mission,96,95.74,or
speech,34,84.95,while
my,97,87.35,not
television,51,40.51,table
white,44,99.05,leader
year,71,79.84,modern
sound,46,23.74,yet
western,68,96.99,large
site,89,61.81,positive
address,75,33.58,member
her,65,10.79,issue
whose,26,11.59,compare
her,89,98.23,spend
of,62,56.6,huge
them,36,4.44,yard
in,76,20.75,key
happen,1,82.04,door
us,63,69.5,listen
alone,65,4.35,product
modern,4,65.15,part
can,43,88.53,born
single,23,24.06,beat
just,34,49.46,ago
building,35,76.21,the
produce,3,82.76,eight
responsibility,22,66.72,material
really,4,1.94,feeling
fire,44,45.55,season
thousand,67,89.04,past
himself,42,99.11,meet
enough,33,79.39,happen
section,38,72.81,right
they,63,50.0,traditional
where,16,34.46,situation
paper,8,28.92,method
within,84,99.3,wind
house,62,34.11,program
black,74,34.37,you
appear,22,51.5,wish
would,4,62.77,real
despite,27,78.84,if
imagine,23,98.52,sometimes
seven,86,45.89,anyone
national,83,73.98,language
scene,9,84.15,employee
call,11,16.45,always
prove,90,90.1,visit
suggest,45,17.01,season
pattern,81,51.18,bring
behavior,61,3.62,control
laugh,31,67.99,always
manager,32,76.56,street
expect,42,95.29,discover
mouth,19,66.05,pay
whose,88,84.15,easy
small,61,73.7,consider
week,25,68.55,sometimes
tell,44,74.43,worry
learn,76,80.15,team
east,37,16.87,door
finish,10,76.06,ok
picture,48,32.29,parent
